embedding_number_1,embedding_number_2,embedding_number_3,embedding_number_4,embedding_number_5,embedding_number_6,embedding_number_7,embedding_number_8,embedding_number_9,embedding_number_10,embedding_number_11,embedding_number_12,embedding_number_13,embedding_number_14,embedding_number_15,embedding_number_16,embedding_number_17,embedding_number_18,embedding_number_19,embedding_number_20,embedding_number_21,embedding_number_22,embedding_number_23,embedding_number_24,embedding_number_25,embedding_number_26,embedding_number_27,embedding_number_28,embedding_number_29,embedding_number_30,embedding_number_31,embedding_number_32,embedding_number_33,embedding_number_34,embedding_number_35,embedding_number_36,embedding_number_37,embedding_number_38,embedding_number_39,embedding_number_40,embedding_number_41,embedding_number_42,embedding_number_43,embedding_number_44,embedding_number_45,embedding_number_46,embedding_number_47,embedding_number_48,embedding_number_49,embedding_number_50,embedding_number_51,embedding_number_52,embedding_number_53,embedding_number_54,embedding_number_55,embedding_number_56,embedding_number_57,embedding_number_58,embedding_number_59,embedding_number_60,embedding_number_61,embedding_number_62,embedding_number_63,embedding_number_64,name,job,age,nationality
0.7598109245,0.51570189,1.0671117306,0.9739590883,0.9448727369,1.0240373611,0.8346187472,-0.0363348201,0.1227028668,-0.0609620847,0.8537332416,0.1881198287,0.852073431,0.8491196036,0.9216103554,0.3777119219,0.874351263,1.1009376049,0.0371883027,0.6502601504,0.7643589973,0.0883487761,0.1138631105,0.1386487186,1.1351376772,0.7714626789,0.9827315807,-0.0889160186,-0.0368372127,0.7759437561,0.0954325423,0.0946760774,0.0583571978,0.4383025169,-0.0400651544,0.0177911893,0.117949158,0.5578548312,0.9127237797,0.215489924,0.1227954701,0.1619125307,1.1036684513,0.6556803584,0.1842489392,1.0079324245,0.0235781148,1.07708323,0.3399554491,1.0690873861,-0.2977010906,0.751065433,0.5935806036,1.1334271431,0.1921349168,0.8024402857,1.2083353996,0.9179547429,0.760484457,-0.0685548484,0.0316498056,0.851731956,0.9031974673,0.0574064553,Matthew Hernandez,Doctor,45,Chinese
0.743789494,0.7434083223,0.191971451,0.4896621704,0.4455940127,-0.0259200372,0.7207255363,0.0183425453,0.6651428938,0.5172019005,0.2280791998,0.9911837578,0.460975945,0.0309471898,0.7202749252,0.3626775742,0.6909816265,-0.0898635238,0.1378769577,0.4686077237,0.6794060469,0.108016178,-0.0949088335,0.3937370777,0.2792196274,-0.0976486653,0.9491958618,0.1772908121,0.1846521348,0.7234976292,0.8376643658,-0.1547190547,0.1060465574,0.5099142194,0.8440241218,0.8330336213,0.1577529907,0.5647269487,-0.093276605,0.1325470805,0.9648572803,1.0327056646,0.9016842842,0.0894086957,0.4705325961,1.2277207375,0.5595118999,0.4932847321,0.037138477,0.9960087538,0.0882973075,-0.1267130673,0.2318874896,0.5738627315,0.7954415679,0.6864287257,0.2374763489,0.1818195283,-0.0535143763,0.7367184162,0.058046855,1.0975725651,0.3390605748,0.9975886345,Matthew Miller,Software Engineer,32,German
0.1222470775,0.9835349321,0.8950161338,0.033819057,-0.0330902487,1.1349627972,0.5573703051,0.1029865667,0.0057021501,0.4993404746,0.4575146139,0.842735827,0.3025197387,0.0302918069,0.6217499971,0.2132758498,0.7580180168,0.4302392602,0.8947677016,0.9352138638,-0.0689705759,-0.1742222607,0.1555868685,0.7367739677,0.159311235,1.0368360281,0.075499773,1.0581339598,0.1031017676,0.1060831547,0.0886405632,0.9713539481,0.1561114192,0.8367452025,0.4403669834,0.2346523106,-0.1223425567,0.0584939048,0.775432229,0.6864731908,1.0024200678,-0.1046580002,0.0617307276,-0.1775022745,-0.0600905418,1.0048776865,0.9525728822,0.7816911936,0.2529533803,0.8533217907,0.6081500649,1.0015146732,0.4808672965,0.9988341331,0.0276847482,0.8691726327,0.3785750866,1.0395848751,0.2155566961,0.0663002729,0.7728945017,0.324052453,-0.0783667639,0.9901250601,Joseph Miller,Teacher,57,Indian
0.1426475346,1.0877541304,0.79280442,0.9991688728,0.388071537,0.4352338016,0.9346936345,0.9226914644,0.1194368079,1.0612703562,0.8628923297,-0.2478004843,0.1194388419,0.0121740513,0.5715515614,0.9527411461,0.864489615,-0.0333650559,0.9359721541,0.802159965,0.9886158705,0.9129503369,0.3530495465,0.314961344,0.0591876954,0.1006840914,0.5632932186,-0.0927618295,0.0044433232,0.0847920924,0.0212505981,0.216437608,0.75872159,1.0266307592,0.9223582745,0.193866998,0.8506518602,0.4110524654,0.1302522421,0.3973317742,0.9337027073,0.1594650447,0.8374757171,0.8601664901,0.9071920514,0.7867934108,0.042921789,1.1559647322,0.1434817165,0.0036023203,0.1124491096,-0.0289800614,0.933177948,0.8907134533,0.1879688501,0.0611800142,0.8153998852,0.0559898242,0.8153058887,0.9104351997,0.0772052929,0.0552689955,0.7482062578,-0.080143705,Daniel Garcia,Pilot,36,Australian
0.8794509768,1.0406011343,0.8436553478,0.0914965197,0.2899599373,0.0924669951,-0.2023060471,0.8803038001,0.8940357566,1.0510479212,0.5345749855,0.2710662484,0.5434135795,0.8287306428,1.0247806311,-0.006349565,0.1265557557,-0.0850406885,-0.0524943024,0.2013990283,1.0992914438,1.0125764608,0.0629332289,1.0520778894,-0.0607446432,0.7798969746,1.0341911316,0.1172226965,0.8813415766,0.4245070219,0.0006042644,-0.0115940161,-0.0235039555,1.1414388418,0.1560898721,0.8104535937,0.1084892005,0.7959948182,0.2243833691,0.6912696958,0.8850508332,0.9739871621,0.2535399199,0.9657140374,0.0007921308,0.8085516095,0.9316198826,0.052777838,-0.0209666044,0.2783799767,-0.0970746577,0.156015262,0.0389934704,0.4369455874,1.1249492168,0.8325433135,0.7428793311,0.1489422023,0.160049215,0.8625469208,-0.0537278578,0.3193342686,0.9440085888,0.8906159401,Joseph Jones,Doctor,36,Australian
0.2782844901,0.4336823821,-0.0184772238,0.0262663737,0.8693224192,0.1680716574,0.0699016303,-0.0794035271,0.1899989396,0.8468829393,0.7469201088,0.7945693731,1.0062329769,0.4954748452,0.8068694472,0.1214229912,0.7488207817,1.0155849457,0.8107576966,0.0373582542,0.0889261812,0.3473505676,0.5984846354,0.8329257965,0.0023260266,0.3417822719,-0.0126294829,1.0261482,0.4326489568,0.9276212454,0.7206355929,0.3183146715,0.9181197882,0.2347692698,0.0573939532,0.9416220188,0.4469753802,0.3934931159,0.8839734197,0.9828616381,0.4811155796,0.5694944859,-0.0641444474,0.5551407933,0.2837643623,0.7565042377,0.1801288128,-0.1085829139,0.1701970696,-0.0054820087,-0.0840051621,0.0478454083,0.6200293899,0.1148794666,0.2845900655,-0.1269756407,0.0918893516,0.0589620695,0.0644230396,1.0028181076,0.5455938578,1.123683095,0.9044992924,1.1547482014,John Hernandez,Manager,40,Chinese
1.0135016441,0.6185574532,0.006599538,0.9734779596,0.84785074,0.3866419494,0.2754904032,0.2291346937,1.0645276308,-0.1774281263,0.9168174267,0.1893408298,0.7492163181,-0.0304651745,0.8254920244,0.9272145629,1.0446447134,0.3903611004,0.8776925802,0.8143147826,1.0673582554,0.1804140508,0.0807964206,0.8989482522,-0.0141307861,-0.0125365257,-0.1223623902,0.1473568827,0.1217715964,0.8968423605,0.6504279375,0.0110697709,0.5252178907,0.082445547,0.8703346848,0.9898733497,0.2185175419,0.5270816684,0.6942303181,0.0059831738,0.4914024174,1.0556908846,0.4106646776,1.1405061483,1.0635017157,0.1354504824,0.2101377845,0.6765245795,0.4882798195,0.1987364441,-0.0526797436,0.0419131219,-0.0600729659,-0.0875871703,0.7052775025,0.1547737122,0.4857103825,0.5999571681,0.9533771873,0.5243911743,0.1603909433,-0.1215188578,0.9887241721,0.968536973,Michael Smith,Architect,52,Chinese
0.0888695642,0.239226222,0.0747405812,0.0338679925,0.9989317656,0.0479835831,1.0313260555,0.1943994462,0.923506856,0.5554164648,-0.0003319308,0.486792326,0.9195798039,0.7191565037,0.8138802052,0.1889222264,0.2160378247,0.8219816089,0.8332464695,0.5773971081,0.4290928245,0.6986193061,0.7825331688,1.1251938343,1.1007502079,0.810469687,0.1152554899,0.6625761986,1.0378621817,0.998439908,0.9219768047,0.0952196419,0.0708443373,0.868602097,0.7023587823,0.3571123779,0.2530035377,0.105962567,0.0652424842,0.9889289737,0.6787660122,0.4886532128,0.5255111456,0.9259231091,0.0901457816,0.069810316,0.4817845523,0.515615046,0.2609847784,-0.0365567133,0.9291216135,0.8134703636,0.8140559793,0.2188146412,1.0886714458,0.1380463094,0.8124392629,-0.0979800597,1.0030008554,1.0404759645,0.76014328,0.068053104,0.9577772021,0.2703472674,Michael Hernandez,Nurse,53,American
0.0341769233,-0.0457942411,0.1903697103,-0.0777954236,0.0952437967,-0.0097276596,0.7646208405,0.0281588789,0.0645047575,0.4656640589,-0.2694654465,0.1551366597,1.0543811321,-0.157812342,0.0672511011,0.5246074796,0.2984780073,-0.2499747872,0.4033183157,0.8708000183,0.1337313503,-0.0449001193,0.0770277828,0.9578959942,-0.0291618258,0.0889536589,0.7243352532,0.0825657994,0.0595132262,-0.0248719901,-0.0105252638,1.0226336718,0.9164470434,1.1084923744,0.5025011301,1.0509207249,0.0714765787,0.4430354238,0.0797855556,0.1833047718,0.9189577103,0.1151138917,0.7445165515,1.0665539503,0.2174545079,0.0988460183,1.0231091976,0.0709524304,0.06110771,0.8011362553,0.9575103521,0.0848900527,0.8394476175,0.2380503714,0.7373378277,1.0297509432,-0.1312443018,-0.0365613624,-0.2217723578,-0.1450026631,0.0626948848,0.9897469282,0.1651975214,0.404800415,Joseph Martinez,Teacher,54,Italian
-0.1911510825,0.1133669391,0.6580324769,0.0584578589,0.0326737911,0.1306876987,0.80891186,0.9020510912,0.1732228696,0.778277576,0.1837816238,0.3267000616,0.8891501427,0.0169492625,0.6250431538,0.2812162042,0.084011957,0.8877711296,0.8449577093,0.0247730166,0.6444292068,0.2790594399,0.1995388716,0.2066799849,0.8891994357,0.6976730824,-0.0092135407,1.0183861256,0.0596399829,0.0398560166,-0.0801561847,1.0059013367,0.8564068675,1.196798563,0.9487780333,0.0317049995,1.0484895706,-0.1663241088,0.0850210041,-0.0407240242,0.0937435701,-0.1665075123,-0.0344685763,0.2093157172,0.4460959435,0.2823715806,0.9722799659,0.2222542167,0.9543586969,0.2178287357,0.6079521179,0.9180062413,0.8379541039,0.9195872545,0.395580411,1.2059291601,0.2812054157,0.8068608046,0.7398689389,0.1321322024,0.8788859844,-0.1394096315,0.1460400522,0.0287124049,Michael Williams,Chef,36,French
